"Time (s) Run #3","Position (m) Run #3"
0.000,0.48
0.010,0.50
0.020,0.51
0.030,0.52
0.040,0.54
0.050,0.55
0.060,0.57
0.070,0.58
0.080,0.60
0.090,0.61
0.100,0.63
0.110,0.65
0.120,0.67
0.130,0.68
0.140,0.70
0.150,0.72
0.160,0.73
0.170,0.74
0.180,0.75
0.190,0.76
0.200,0.76
0.210,0.77
0.220,0.78
0.230,0.79
0.240,0.79
0.250,0.80
0.260,0.80
0.270,0.81
0.280,0.81
0.290,0.81
0.300,0.82
0.310,0.82
0.320,0.82
0.330,0.83
0.340,0.83
0.350,0.83
0.360,0.84
0.370,0.84
0.380,0.84
0.390,0.85
0.400,0.85
0.410,0.85
0.420,0.85
0.430,0.86
0.440,0.86
0.450,0.86
0.460,0.87
0.470,0.87
0.480,0.87
0.490,0.87
0.500,0.87
0.510,0.87
0.520,0.87
0.530,0.87
0.540,0.87
0.550,0.87
0.560,0.86
0.570,0.86
0.580,0.85
0.590,0.84
0.600,0.83
0.610,0.82
0.620,0.81
0.630,0.80
0.640,0.78
0.650,0.76
0.660,0.75
0.670,0.73
0.680,0.71
0.690,0.70
0.700,0.68
0.710,0.67
0.720,0.65
0.730,0.64
0.740,0.63
0.750,0.61
0.760,0.60
0.770,0.59
0.780,0.58
0.790,0.57
0.800,0.55
0.810,0.54
0.820,0.53
0.830,0.52
0.840,0.52
0.850,0.51
0.860,0.50
0.870,0.49
0.880,0.48
0.890,0.47
0.900,0.47
0.910,0.46
0.920,0.46
0.930,0.45
0.940,0.44
0.950,0.44
0.960,0.43
0.970,0.43
0.980,0.43
0.990,0.42
1.000,0.42
1.010,0.42
1.020,0.42
1.030,0.42
1.040,0.41
1.050,0.41
1.060,0.41
1.070,0.41
1.080,0.41
1.090,0.41
1.100,0.42
1.110,0.42
1.120,0.42
1.130,0.42
1.140,0.43
1.150,0.43
1.160,0.43
1.170,0.44
1.180,0.44
1.190,0.45
1.200,0.45
1.210,0.46
1.220,0.46
1.230,0.47
1.240,0.48
1.250,0.48
1.260,0.49
1.270,0.50
1.280,0.51
1.290,0.52
1.300,0.53
1.310,0.54
1.320,0.55
1.330,0.56
1.340,0.57
1.350,0.58
1.360,0.59
1.370,0.60
1.380,0.62
1.390,0.63
1.400,0.64
1.410,0.66
1.420,0.67
1.430,0.68
1.440,0.70
1.450,0.71
1.460,0.73
1.470,0.75
1.480,0.76
1.490,0.78
1.500,0.79
1.510,0.81
1.520,0.82
1.530,0.83
1.540,0.84
1.550,0.85
1.560,0.86
1.570,0.87
1.580,0.87
1.590,0.88
1.600,0.89
1.610,0.89
1.620,0.90
1.630,0.90
1.640,0.90
1.650,0.90
1.660,0.90
1.670,0.90
1.680,0.90
1.690,0.90
1.700,0.90
1.710,0.89
1.720,0.88
1.730,0.88
1.740,0.87
1.750,0.85
1.760,0.84
1.770,0.83
1.780,0.81
1.790,0.79
1.800,0.77
1.810,0.75
1.820,0.74
1.830,0.72
1.840,0.70
1.850,0.68
1.860,0.66
1.870,0.64
1.880,0.62
1.890,0.61
1.900,0.59
1.910,0.58
1.920,0.56
1.930,0.54
1.940,0.53
1.950,0.52
1.960,0.50
1.970,0.49
1.980,0.47
1.990,0.46
2.000,0.45
2.010,0.44
2.020,0.43
2.030,0.42
2.040,0.40
2.050,0.39
2.060,0.38
2.070,0.38
2.080,0.37
2.090,0.36
2.100,0.35
2.110,0.34
2.120,0.33
2.130,0.33
2.140,0.32
2.150,0.31
2.160,0.31
2.170,0.30
2.180,0.30
2.190,0.29
2.200,0.29
2.210,0.29
2.220,0.28
2.230,0.28
2.240,0.28
2.250,0.28
2.260,0.27
2.270,0.27
2.280,0.27
2.290,0.27
2.300,0.27
2.310,0.27
2.320,0.27
2.330,0.27
2.340,0.27
2.350,0.28
2.360,0.28
2.370,0.28
2.380,0.28
2.390,0.29
2.400,0.29
2.410,0.30
2.420,0.30
2.430,0.31
2.440,0.31
2.450,0.32
2.460,0.32
2.470,0.33
2.480,0.34
2.490,0.35
2.500,0.35
